Country,Development,Demography,Health Care,Urbanisation
Russian Federation,0.041871936778916145,0.04669608681118121,0.00014872099940512018,0.0020060030711158148
Sao Tome and Principe,0.3447904661795063,0.6849242520201563,0.43367043426531815,0.004920494315667027
Saudi Arabia,0.02128899076759416,0.3071150885568133,0.46638905413444376,0.01032620198888728
Serbia,0.06205595167234456,0.026700006576968634,0.10053539559785842,0.10897804758196578
Seychelles,0.06029558896163938,0.13145214831070542,0.3285246876859013,0.10291240044817915
Singapore,5.0657919732526256e-05,0.056239548041418806,0.5176977989292086,0.1245778096682645
Slovakia,0.02128899076759416,0.03755494431497522,0.09295062462819752,0.13463465202991406
Slovenia,0.004334418257114278,0.013811006757720842,0.20359904818560384,0.12549096831147477
Solomon Islands,0.46201289244057175,0.6137003184643208,0.7080606781677571,0.6943493775191685
Spain,0.006699509884626597,0.02578892340974053,0.4177572873289709,0.0021912535833234262
Sri Lanka,0.08004267929737464,0.11788344650778679,0.3285246876859013,0.8377887849866539
Sudan,0.5881416142146122,0.635295016105515,0.8365556216537775,0.4406497717863933
Suriname,0.14635389622725134,0.21686307031499719,0.40214158239143366,0.030641336963479197
Sweden,1.2664479933131567e-05,0.026297381371795395,0.4831945270672219,0.02478126407336601
Switzerland,0.00015513987918085677,0.00927886897942333,0.19274241522903035,0.002990190948591821
Syrian Arab Republic,0.48156684945732714,0.3809599512223156,0.6876859012492563,0.1297030696443569
Tajikistan,0.25357138334114326,0.5165079815752243,0.18218322427126712,0.6093614249497278
Tanzania,0.5348241536961283,0.7634988126856898,0.85901249256395,0.45871750419853385
Thailand,0.09585744861387267,0.047190002825680546,0.5716835217132659,0.18120729804344626
Togo,0.574574790086245,0.6608437166537827,0.85901249256395,0.30689669476531767
Tonga,0.15603905725611367,0.4324748399983709,0.4831945270672219,0.7104643598479581
Tunisia,0.12664479933131534,0.14891603010912052,0.5353955978584175,0.01694290211539513
Turkey,0.055166474588720996,0.1688822066362834,0.46638905413444376,0.0011385900070049752
Turkmenistan,0.1660344980433379,0.3319391677400565,0.0120464009518144,0.16008713071390748
Uganda,0.5348241536961283,0.9034825720051294,0.9048185603807256,0.6937013673842154
Ukraine,0.11309697192284802,0.030882059856501866,0.003718024985127899,0.015334668758221332
United Arab Emirates,0.016872253390914523,0.6012434686219377,0.7497025580011897,0.020528987213300272
United Kingdom,0.0011429693139651236,0.022311200009078193,0.4498810232004759,0.008964212846023282
United States of America,0.0011429693139651236,0.039789422987588884,0.43367043426531815,0.005915687008726994
Uruguay,0.05433378503311769,0.07502926690780903,0.4498810232004759,0.07860573529235237
Uzbekistan,0.1660344980433379,0.3022329190779349,0.27498512790005947,0.1742685809090517
Venezuela,0.14364369752156134,0.21348008421522774,0.8365556216537775,0.028733097923715045
Vietnam,0.19160091690834724,0.16275679448975214,0.4831945270672219,0.4146694787099374
Yemen,0.7173668013323033,0.6634423104293083,0.85901249256395,0.4003101561734616
Zambia,0.3834297944554907,0.8278020753095137,0.5902736466389054,0.2763441991013181
Zimbabwe,0.44761337875660145,0.717191936116529,0.6478286734086852,0.49233320023938487
